titulo_puesto,empresa,carrera_requerida,provincia,experiencia_requerida,salario_minimo,salario_maximo,fecha_publicacion,sector
Coordinador de Publicidad,Hospital Metropolitano,Comunicación Social,Manabí,4 años,1293,1679,2025-10-20,Privado
Supervisor de Obra,Ministerio de Salud,Ingeniería Industrial,Guayas,1 año,1089,1397,2025-10-28,Público
Administrador de Sistemas,Ministerio de Educación,Ingeniería en Sistemas,El Oro,2 años,1579,1803,2025-09-09,Público
Coordinador de Publicidad,CNT,Comunicación Social,Pichincha,3 años,1021,1255,2025-09-11,Público
Psicólogo Clínico,Cervecería Nacional,Enfermería,Tungurahua,1 año,769,947,2025-11-29,Privado
Desarrollador Full Stack,Unilever Andina,Ingeniería en Sistemas,Manabí,2 años,1423,1600,2025-10-09,Privado
Ingeniero Industrial,IESS,Ingeniería Industrial,El Oro,4 años,1659,1827,2025-10-30,Público
Médico Especialista,Movistar Ecuador,Medicina,Tungurahua,4 años,2450,2762,2025-09-20,Privado
Técnico Industrial,Unilever Andina,Ingeniería Eléctrica,Azuay,Sin experiencia,812,910,2025-10-02,Privado
Ejecutivo de Ventas,Claro Ecuador,Comunicación Social,Tungurahua,4 años,1313,1538,2025-10-29,Privado
Diseñador Gráfico,Pronaca,Marketing,Tungurahua,2 años,1019,1163,2025-11-07,Privado
Auditor,Banco Pichincha,Contabilidad y Auditoría,Pichincha,1 año,827,1059,2025-11-19,Privado
Ingeniero Industrial,OCP Ecuador,Ingeniería Industrial,Tungurahua,2 años,1098,1366,2025-10-09,Privado
Jefe de Mantenimiento,Diners Club,Ingeniería Civil,Azuay,5+ años,2184,2445,2025-09-29,Privado
Especialista en Ciberseguridad,Corporación GPF,Ingeniería en Sistemas,El Oro,2 años,1386,1729,2025-09-19,Privado
Desarrollador Full Stack,Consorcio Nobis,Ingeniería en Sistemas,El Oro,1 año,1235,1439,2025-11-02,Privado
Gerente de Marketing,OCP Ecuador,Comunicación Social,Azuay,2 años,956,1086,2025-10-28,Privado
Auxiliar de Enfermería,Movistar Ecuador,Enfermería,Manabí,1 año,726,868,2025-10-30,Privado
Gerente de Operaciones,Consorcio Nobis,Administración de Empresas,El Oro,Sin experiencia,752,974,2025-09-27,Privado
Tecnólogo Médico,Industrias Ales,Medicina,Tungurahua,Sin experiencia,1242,1411,2025-10-25,Privado
Analista de Recursos Humanos,Corporación Favorita,Contabilidad y Auditoría,El Oro,Sin experiencia,688,856,2025-09-23,Privado
Jefe de Mantenimiento,Unilever Andina,Ingeniería Industrial,Manabí,1 año,988,1099,2025-11-29,Privado
Asistente Administrativo,Almacenes Juan Eljuri,Contabilidad y Auditoría,El Oro,Sin experiencia,649,787,2025-12-01,Privado
Gerente General,Almacenes Juan Eljuri,Contabilidad y Auditoría,El Oro,2 años,998,1116,2025-11-30,Privado
Jefe de Mantenimiento,Fybeca,Ingeniería Civil,El Oro,1 año,1138,1339,2025-11-17,Privado
Community Manager,Banco Pichincha,Comunicación Social,El Oro,1 año,815,978,2025-11-06,Privado
Ingeniero Industrial,Holcim Ecuador,Ingeniería Industrial,Manabí,4 años,1542,1798,2025-10-12,Privado
Analista de Business Intelligence,Ministerio de Educación,Ingeniería en Sistemas,Tungurahua,2 años,1481,1748,2025-10-07,Público
Auxiliar de Enfermería,ARCA Continental,Medicina,Tungurahua,3 años,2078,2641,2025-11-03,Privado
Gerente de Operaciones,Moderna Alimentos,Contabilidad y Auditoría,El Oro,1 año,824,923,2025-10-29,Privado
Analista de Business Intelligence,Banco Pichincha,Ingeniería en Sistemas,Pichincha,1 año,1270,1641,2025-11-27,Privado
Coordinador de Publicidad,IESS,Marketing,El Oro,Sin experiencia,703,906,2025-10-23,Público
Administrador de Sistemas,La Fabril,Ingeniería en Sistemas,Azuay,1 año,1214,1485,2025-11-06,Privado
Coordinador Administrativo,Unilever Andina,Contabilidad y Auditoría,Pichincha,1 año,841,962,2025-10-20,Privado
Analista Financiero,Almacenes Juan Eljuri,Contabilidad y Auditoría,Azuay,1 año,832,922,2025-09-28,Privado
Ingeniero Industrial,Halliburton,Ingeniería Industrial,Pichincha,Sin experiencia,760,865,2025-09-22,Privado
Fisioterapeuta,La Fabril,Enfermería,Guayas,Sin experiencia,584,654,2025-10-30,Privado
Scrum Master,Unilever Andina,Ingeniería en Sistemas,Manabí,2 años,1427,1737,2025-11-10,Privado
Coordinador Administrativo,Banco Pichincha,Administración de Empresas,Tungurahua,1 año,942,1140,2025-11-01,Privado
Brand Manager,Grupo Wright,Comunicación Social,Guayas,1 año,778,882,2025-09-23,Privado
Tecnólogo Médico,Universidad San Francisco,Medicina,Tungurahua,2 años,1937,2292,2025-11-23,Privado
Ingeniero Ambiental,Schlumberger,Ingeniería Civil,Azuay,3 años,1684,2004,2025-09-24,Privado
Asistente Contable,Grupo Wright,Administración de Empresas,Azuay,Sin experiencia,769,930,2025-10-17,Privado
Ingeniero Eléctrico,Ministerio de Salud,Ingeniería Eléctrica,Guayas,3 años,1578,1827,2025-10-21,Público
Contador,Grupo Wright,Administración de Empresas,Tungurahua,2 años,1121,1305,2025-09-21,Privado
Gerente General,Industrias Ales,Contabilidad y Auditoría,Tungurahua,Sin experiencia,649,800,2025-10-30,Privado
Ingeniero Ambiental,Tecnipak,Ingeniería Eléctrica,Pichincha,4 años,1768,1953,2025-09-25,Privado
Desarrollador Full Stack,Ministerio de Salud,Ingeniería en Sistemas,Azuay,4 años,2016,2282,2025-10-13,Público
Diseñador Gráfico,Cervecería Nacional,Marketing,El Oro,Sin experiencia,718,819,2025-11-15,Privado
Desarrollador Mobile,ARCA Continental,Ingeniería en Sistemas,Pichincha,1 año,1227,1515,2025-11-17,Privado
Ingeniero de Proyectos,Repsol Ecuador,Ingeniería Civil,Guayas,3 años,1543,1943,2025-12-05,Privado
Community Manager,Repsol Ecuador,Marketing,Manabí,3 años,1170,1471,2025-12-03,Privado
Gerente General,Cervecería Nacional,Contabilidad y Auditoría,Pichincha,1 año,838,955,2025-11-02,Privado
Supervisor de Obra,Ministerio de Salud,Ingeniería Civil,El Oro,1 año,1202,1392,2025-09-29,Público
Odontólogo/a,EP Petroecuador,Medicina,El Oro,1 año,1504,1767,2025-10-31,Privado
Coordinador de Publicidad,Claro Ecuador,Marketing,Guayas,2 años,950,1205,2025-09-07,Privado
Coordinador Administrativo,Corporación El Rosado,Contabilidad y Auditoría,Pichincha,2 años,893,1039,2025-09-13,Privado
Gerente de Marketing,Moderna Alimentos,Comunicación Social,Tungurahua,1 año,757,843,2025-12-06,Privado
Gerente General,Ministerio de Educación,Contabilidad y Auditoría,Guayas,2 años,963,1210,2025-09-27,Público
Médico Especialista,Schlumberger,Enfermería,Pichincha,3 años,950,1212,2025-11-30,Privado
Jefe de Recursos Humanos,Corporación GPF,Contabilidad y Auditoría,Azuay,Sin experiencia,603,754,2025-11-13,Privado
Ingeniero de Proyectos,Banco Pichincha,Ingeniería Industrial,Pichincha,1 año,1033,1228,2025-11-28,Privado
Analista de E-commerce,SRI,Comunicación Social,Pichincha,3 años,1088,1266,2025-09-21,Público
Psicólogo Clínico,Diners Club,Enfermería,Pichincha,4 años,1212,1532,2025-10-24,Privado
Ingeniero de Proyectos,ARCA Continental,Ingeniería Eléctrica,Manabí,2 años,1199,1534,2025-10-01,Privado
Gerente General,OCP Ecuador,Contabilidad y Auditoría,Pichincha,2 años,896,1156,2025-11-14,Privado
Ingeniero Civil,Holcim Ecuador,Ingeniería Eléctrica,Guayas,Sin experiencia,909,1140,2025-12-03,Privado
Enfermero/a,IESS,Enfermería,Tungurahua,2 años,895,1141,2025-11-01,Público
Odontólogo/a,Corporación Favorita,Medicina,Manabí,2 años,1878,2080,2025-09-16,Privado
Ingeniero de Software,Claro Ecuador,Ingeniería en Sistemas,Tungurahua,1 año,1096,1385,2025-10-10,Privado
Tecnólogo Médico,ARCA Continental,Enfermería,El Oro,1 año,686,798,2025-10-26,Privado
Médico Especialista,Banco Pichincha,Medicina,El Oro,1 año,1566,1742,2025-11-20,Privado
Analista de Datos,Fybeca,Ingeniería en Sistemas,Tungurahua,Sin experiencia,884,1111,2025-10-15,Privado
Analista de Marketing Digital,Diners Club,Comunicación Social,Manabí,1 año,732,925,2025-09-10,Privado
Ingeniero Industrial,Ministerio de Educación,Ingeniería Industrial,Guayas,1 año,1049,1321,2025-11-15,Público
Diseñador Gráfico,Produbanco,Marketing,El Oro,1 año,915,1183,2025-11-28,Privado
Asistente Administrativo,Corporación El Rosado,Contabilidad y Auditoría,Pichincha,Sin experiencia,581,705,2025-10-27,Privado
Ingeniero de Proyectos,OCP Ecuador,Ingeniería Eléctrica,Azuay,4 años,1657,2068,2025-10-21,Privado
Ingeniero de Calidad,Grupo Wright,Ingeniería Civil,Guayas,2 años,1230,1407,2025-10-09,Privado
Ingeniero Mecánico,EP Petroecuador,Ingeniería Civil,El Oro,3 años,1632,2073,2025-11-16,Privado
Ingeniero de Proyectos,Holcim Ecuador,Ingeniería Industrial,Azuay,3 años,1448,1665,2025-10-02,Privado
Brand Manager,Hospital Metropolitano,Comunicación Social,Azuay,2 años,833,1025,2025-09-19,Privado
Analista de E-commerce,Holcim Ecuador,Marketing,Guayas,Sin experiencia,655,779,2025-11-24,Privado
Analista de E-commerce,Corporación El Rosado,Marketing,Tungurahua,2 años,1033,1303,2025-10-31,Privado
Asistente Administrativo,Universidad San Francisco,Administración de Empresas,Guayas,2 años,1141,1417,2025-11-28,Privado
Psicólogo Clínico,Corporación GPF,Enfermería,Guayas,3 años,1015,1183,2025-11-07,Privado
Jefe de Mantenimiento,Fybeca,Ingeniería Industrial,Azuay,2 años,1196,1341,2025-11-28,Privado
Analista de Marketing Digital,Movistar Ecuador,Comunicación Social,Guayas,Sin experiencia,646,735,2025-11-26,Privado
Enfermero/a,Corporación Favorita,Medicina,Tungurahua,1 año,1539,1943,2025-11-20,Privado
Farmacéutico/a,IESS,Enfermería,Pichincha,1 año,707,854,2025-11-15,Público
Ingeniero Industrial,Corporación GPF,Ingeniería Industrial,Manabí,2 años,1133,1421,2025-10-14,Privado
Coordinador Administrativo,Grupo Wright,Administración de Empresas,Tungurahua,2 años,991,1162,2025-09-08,Privado
Técnico Industrial,CNT,Ingeniería Civil,Tungurahua,1 año,1020,1154,2025-11-18,Público
Diseñador Gráfico,Industrias Ales,Comunicación Social,Azuay,5+ años,1362,1705,2025-10-06,Privado
Psicólogo Clínico,Corporación GPF,Medicina,Guayas,2 años,1635,1866,2025-10-23,Privado
Auxiliar de Enfermería,La Fabril,Enfermería,Pichincha,1 año,635,780,2025-09-20,Privado
Ingeniero Ambiental,Claro Ecuador,Ingeniería Eléctrica,Tungurahua,Sin experiencia,887,1006,2025-11-29,Privado
Nutricionista,Holcim Ecuador,Enfermería,Tungurahua,1 año,665,860,2025-10-05,Privado
Ingeniero de Calidad,Fybeca,Ingeniería Eléctrica,Azuay,1 año,1097,1312,2025-11-23,Privado
Analista de Business Intelligence,Consorcio Nobis,Ingeniería en Sistemas,Manabí,1 año,1119,1248,2025-11-28,Privado
Ejecutivo de Ventas,Corporación El Rosado,Marketing,Guayas,1 año,791,965,2025-09-22,Privado
Ingeniero de Calidad,Hospital Metropolitano,Ingeniería Civil,El Oro,1 año,1014,1252,2025-11-07,Privado
Técnico Industrial,CNT,Ingeniería Civil,El Oro,1 año,1173,1295,2025-09-12,Público
Analista de Recursos Humanos,CNT,Administración de Empresas,Guayas,4 años,1477,1636,2025-11-19,Público
Asistente Administrativo,CNT,Administración de Empresas,Azuay,Sin experiencia,780,938,2025-10-28,Público
Analista de E-commerce,Corporación Favorita,Comunicación Social,El Oro,2 años,941,1189,2025-09-17,Privado
Jefe de Mantenimiento,Industrias Ales,Ingeniería Civil,Manabí,2 años,1233,1561,2025-11-22,Privado
Analista de Recursos Humanos,EP Petroecuador,Administración de Empresas,Tungurahua,5+ años,1857,2140,2025-12-03,Privado
Coordinador Administrativo,Holcim Ecuador,Contabilidad y Auditoría,Guayas,Sin experiencia,624,702,2025-09-09,Privado
Ingeniero de Proyectos,Grupo Wright,Ingeniería Civil,El Oro,1 año,1082,1222,2025-09-19,Privado
Coordinador Administrativo,Pronaca,Administración de Empresas,Tungurahua,5+ años,1801,2023,2025-11-07,Privado
Analista de Recursos Humanos,Banco Pichincha,Administración de Empresas,El Oro,4 años,1482,1784,2025-10-24,Privado
Analista de Business Intelligence,Tecnipak,Ingeniería en Sistemas,Guayas,3 años,1827,2185,2025-10-25,Privado
Analista de Recursos Humanos,Nestlé Ecuador,Contabilidad y Auditoría,Manabí,1 año,741,885,2025-10-06,Privado
Psicólogo Clínico,Halliburton,Medicina,Azuay,1 año,1406,1746,2025-09-07,Privado
Coordinador de Publicidad,Unilever Andina,Comunicación Social,Tungurahua,3 años,946,1164,2025-12-04,Privado
Asistente Contable,Corporación GPF,Contabilidad y Auditoría,Pichincha,4 años,1191,1465,2025-10-09,Privado
Coordinador de Publicidad,Tecnipak,Marketing,Tungurahua,2 años,992,1145,2025-12-03,Privado
Fisioterapeuta,Halliburton,Enfermería,Tungurahua,2 años,887,1061,2025-10-24,Privado
Ingeniero de Proyectos,Industrias Ales,Ingeniería Eléctrica,Azuay,1 año,1207,1467,2025-12-06,Privado
Odontólogo/a,Unilever Andina,Enfermería,El Oro,3 años,927,1164,2025-09-27,Privado
Fisioterapeuta,Grupo Wright,Medicina,Manabí,1 año,1585,1997,2025-11-24,Privado
Ingeniero de Software,Repsol Ecuador,Ingeniería en Sistemas,El Oro,1 año,1081,1208,2025-09-25,Privado
Técnico Industrial,Tecnipak,Ingeniería Industrial,Pichincha,2 años,1095,1253,2025-09-17,Privado
Community Manager,Repsol Ecuador,Comunicación Social,Manabí,2 años,920,1107,2025-11-22,Privado
Ingeniero de Software,Moderna Alimentos,Ingeniería en Sistemas,Manabí,1 año,1082,1374,2025-11-12,Privado
Ejecutivo de Ventas,Pronaca,Marketing,Tungurahua,Sin experiencia,681,844,2025-11-24,Privado
Asistente Administrativo,Corporación GPF,Administración de Empresas,Guayas,2 años,1113,1441,2025-09-18,Privado
Content Manager,Fybeca,Marketing,El Oro,1 año,832,1012,2025-11-12,Privado
Analista de Datos,OCP Ecuador,Ingeniería en Sistemas,Tungurahua,2 años,1377,1743,2025-11-20,Privado
Jefe de Recursos Humanos,Movistar Ecuador,Contabilidad y Auditoría,Guayas,1 año,817,930,2025-10-28,Privado
Community Manager,Claro Ecuador,Comunicación Social,Guayas,2 años,883,990,2025-09-16,Privado
Ingeniero Ambiental,Hospital Metropolitano,Ingeniería Eléctrica,Pichincha,2 años,1399,1806,2025-11-14,Privado
Gerente de Marketing,ARCA Continental,Comunicación Social,Manabí,Sin experiencia,607,761,2025-10-20,Privado
Jefe de Mantenimiento,Corporación Favorita,Ingeniería Industrial,Manabí,1 año,923,1027,2025-11-27,Privado
Ingeniero Eléctrico,Universidad San Francisco,Ingeniería Civil,Manabí,Sin experiencia,960,1155,2025-09-08,Privado
Ejecutivo de Ventas,Diners Club,Marketing,Pichincha,Sin experiencia,666,832,2025-10-20,Privado
Médico Especialista,EP Petroecuador,Medicina,Manabí,5+ años,2888,3303,2025-11-19,Privado
Diseñador Gráfico,Ministerio de Salud,Marketing,Manabí,1 año,890,1020,2025-10-07,Público
Ejecutivo de Ventas,Ministerio de Educación,Marketing,Guayas,3 años,1269,1608,2025-10-22,Público
Gerente de Operaciones,Unilever Andina,Administración de Empresas,Pichincha,1 año,931,1147,2025-11-24,Privado
Analista de Business Intelligence,Pronaca,Ingeniería en Sistemas,Manabí,3 años,1636,1902,2025-11-19,Privado
Brand Manager,EP Petroecuador,Marketing,Tungurahua,3 años,1137,1301,2025-11-19,Privado
Asistente Administrativo,Almacenes Juan Eljuri,Administración de Empresas,Manabí,2 años,1075,1298,2025-11-10,Privado
Asistente Contable,EP Petroecuador,Contabilidad y Auditoría,Manabí,2 años,1051,1302,2025-11-04,Privado
Asistente Administrativo,Banco Pichincha,Contabilidad y Auditoría,El Oro,2 años,904,1099,2025-10-18,Privado
Analista de Recursos Humanos,Claro Ecuador,Contabilidad y Auditoría,Guayas,1 año,807,925,2025-11-06,Privado
Especialista en SEO,Corporación GPF,Comunicación Social,Guayas,4 años,1199,1369,2025-12-05,Privado
Jefe de Recursos Humanos,Schlumberger,Contabilidad y Auditoría,Azuay,3 años,1108,1345,2025-11-19,Privado
Ingeniero Mecánico,Movistar Ecuador,Ingeniería Civil,Guayas,5+ años,2224,2827,2025-10-02,Privado
Contador,Industrias Ales,Administración de Empresas,Pichincha,Sin experiencia,673,807,2025-11-26,Privado
Ingeniero de Proyectos,Universidad San Francisco,Ingeniería Eléctrica,Manabí,3 años,1478,1791,2025-11-18,Privado
Arquitecto de Software,Nestlé Ecuador,Ingeniería en Sistemas,El Oro,4 años,1790,2046,2025-10-09,Privado
Ingeniero Mecánico,ARCA Continental,Ingeniería Industrial,El Oro,1 año,966,1132,2025-11-17,Privado
Ingeniero Ambiental,Fybeca,Ingeniería Eléctrica,Pichincha,Sin experiencia,864,1011,2025-12-02,Privado
Ejecutivo de Ventas,EP Petroecuador,Comunicación Social,Azuay,3 años,1019,1258,2025-11-08,Privado
Ingeniero Mecánico,Repsol Ecuador,Ingeniería Industrial,Tungurahua,2 años,1148,1407,2025-09-25,Privado
Jefe de Recursos Humanos,Halliburton,Administración de Empresas,El Oro,3 años,1288,1521,2025-09-16,Privado
Odontólogo/a,Hospital Metropolitano,Medicina,Guayas,Sin experiencia,1155,1421,2025-12-06,Privado
Analista de E-commerce,Schlumberger,Marketing,Azuay,3 años,1282,1610,2025-10-23,Privado
Coordinador de Publicidad,ARCA Continental,Comunicación Social,Manabí,1 año,700,889,2025-09-23,Privado
Ingeniero Ambiental,OCP Ecuador,Ingeniería Civil,Guayas,1 año,1026,1149,2025-09-15,Privado
Ingeniero de Proyectos,Cervecería Nacional,Ingeniería Industrial,Pichincha,1 año,1054,1269,2025-09-17,Privado
Psicólogo Clínico,Corporación El Rosado,Medicina,Pichincha,3 años,2165,2764,2025-10-16,Privado
Ingeniero Eléctrico,Diners Club,Ingeniería Civil,Manabí,3 años,1578,1777,2025-09-28,Privado
Desarrollador Full Stack,Fybeca,Ingeniería en Sistemas,Azuay,2 años,1544,1842,2025-11-15,Privado
Coordinador de Publicidad,ARCA Continental,Marketing,Guayas,1 año,929,1151,2025-09-29,Privado
Analista de E-commerce,La Fabril,Comunicación Social,El Oro,4 años,1259,1605,2025-11-01,Privado
Ingeniero de Proyectos,Produbanco,Ingeniería Eléctrica,Azuay,1 año,1095,1254,2025-09-18,Privado
Ingeniero Ambiental,Corporación GPF,Ingeniería Industrial,Manabí,3 años,1332,1546,2025-09-07,Privado
Ingeniero Industrial,Fybeca,Ingeniería Eléctrica,Azuay,2 años,1311,1444,2025-11-08,Privado
Ingeniero Ambiental,Banco Pichincha,Ingeniería Industrial,Manabí,1 año,1059,1291,2025-09-07,Privado
Supervisor de Obra,Ministerio de Salud,Ingeniería Eléctrica,Manabí,2 años,1420,1686,2025-10-08,Público
Asistente Contable,Repsol Ecuador,Administración de Empresas,Guayas,1 año,857,1015,2025-10-07,Privado
Técnico Industrial,Movistar Ecuador,Ingeniería Eléctrica,Azuay,3 años,1585,1912,2025-10-11,Privado
Fisioterapeuta,Holcim Ecuador,Enfermería,Guayas,2 años,778,872,2025-11-04,Privado
Brand Manager,Movistar Ecuador,Comunicación Social,El Oro,1 año,768,873,2025-09-09,Privado
Asistente Administrativo,Corporación Favorita,Administración de Empresas,Guayas,4 años,1576,1822,2025-09-23,Privado
Ingeniero Civil,Ministerio de Educación,Ingeniería Industrial,Pichincha,1 año,930,1114,2025-10-20,Público
Psicólogo Clínico,Moderna Alimentos,Enfermería,Azuay,2 años,833,1048,2025-10-19,Privado
Odontólogo/a,Cervecería Nacional,Medicina,Azuay,4 años,2532,2821,2025-11-06,Privado
Auditor,Claro Ecuador,Administración de Empresas,Manabí,2 años,1150,1293,2025-10-08,Privado
Auxiliar de Enfermería,SRI,Enfermería,El Oro,Sin experiencia,615,700,2025-09-19,Público
Ingeniero Eléctrico,Industrias Ales,Ingeniería Eléctrica,Manabí,4 años,1823,2119,2025-10-18,Privado
Asistente Administrativo,Almacenes Juan Eljuri,Administración de Empresas,Pichincha,2 años,1026,1259,2025-10-02,Privado
Asistente Administrativo,IESS,Contabilidad y Auditoría,Pichincha,1 año,757,898,2025-09-08,Público
Analista Financiero,Unilever Andina,Administración de Empresas,Manabí,Sin experiencia,761,838,2025-09-12,Privado
Brand Manager,Corporación El Rosado,Comunicación Social,Azuay,3 años,1106,1271,2025-11-09,Privado
Farmacéutico/a,Hospital Metropolitano,Medicina,El Oro,2 años,1641,1921,2025-09-26,Privado
Ingeniero Mecánico,Consorcio Nobis,Ingeniería Eléctrica,Manabí,2 años,1249,1619,2025-11-28,Privado
Coordinador Administrativo,Ministerio de Salud,Contabilidad y Auditoría,Pichincha,4 años,1328,1555,2025-09-24,Público
Community Manager,Moderna Alimentos,Marketing,El Oro,3 años,1175,1361,2025-12-05,Privado
Ingeniero Eléctrico,EP Petroecuador,Ingeniería Industrial,Tungurahua,1 año,969,1207,2025-10-12,Privado
Coordinador de Publicidad,CNT,Comunicación Social,Pichincha,1 año,754,897,2025-10-10,Público
Supervisor de Obra,La Fabril,Ingeniería Eléctrica,Pichincha,1 año,1160,1393,2025-09-30,Privado
Scrum Master,Corporación GPF,Ingeniería en Sistemas,Tungurahua,3 años,1592,1980,2025-11-30,Privado
Ingeniero de Calidad,Ministerio de Salud,Ingeniería Eléctrica,Tungurahua,Sin experiencia,912,1142,2025-09-26,Público
Gerente de Marketing,Universidad San Francisco,Comunicación Social,Manabí,2 años,925,1037,2025-11-12,Privado
Médico General,Consorcio Nobis,Medicina,Guayas,3 años,2256,2572,2025-11-08,Privado
Ingeniero Mecánico,Pronaca,Ingeniería Civil,Tungurahua,4 años,1809,2130,2025-11-08,Privado
Técnico Industrial,Claro Ecuador,Ingeniería Eléctrica,Pichincha,1 año,1070,1306,2025-09-16,Privado
Administrador de Sistemas,Moderna Alimentos,Ingeniería en Sistemas,Pichincha,3 años,1669,2049,2025-10-23,Privado
Ingeniero de Calidad,Corporación GPF,Ingeniería Eléctrica,El Oro,Sin experiencia,802,981,2025-11-13,Privado
Analista de Datos,Produbanco,Ingeniería en Sistemas,Pichincha,3 años,1829,2363,2025-09-19,Privado
Fisioterapeuta,Repsol Ecuador,Medicina,Guayas,Sin experiencia,1126,1386,2025-11-18,Privado
Gerente General,Halliburton,Administración de Empresas,El Oro,1 año,828,1016,2025-10-22,Privado
Ingeniero de Calidad,Nestlé Ecuador,Ingeniería Industrial,Guayas,3 años,1481,1791,2025-11-10,Privado
Contador,ARCA Continental,Contabilidad y Auditoría,Azuay,Sin experiencia,691,836,2025-10-18,Privado
Asistente Contable,Tecnipak,Contabilidad y Auditoría,El Oro,1 año,771,885,2025-11-15,Privado
Ingeniero de Calidad,Claro Ecuador,Ingeniería Civil,Azuay,3 años,1682,2000,2025-10-27,Privado
Desarrollador Full Stack,Diners Club,Ingeniería en Sistemas,Tungurahua,3 años,1517,1709,2025-10-15,Privado
Especialista en Ciberseguridad,Ministerio de Educación,Ingeniería en Sistemas,Guayas,2 años,1542,1702,2025-12-04,Público
Coordinador de Publicidad,Grupo Wright,Marketing,Tungurahua,3 años,1206,1464,2025-09-19,Privado
DevOps Engineer,Fybeca,Ingeniería en Sistemas,Guayas,2 años,1335,1566,2025-11-20,Privado
Ingeniero Eléctrico,Claro Ecuador,Ingeniería Civil,Azuay,1 año,1010,1191,2025-10-04,Privado
Nutricionista,Industrias Ales,Medicina,Guayas,1 año,1496,1914,2025-12-05,Privado
Analista de Marketing Digital,Produbanco,Comunicación Social,Pichincha,1 año,784,952,2025-09-17,Privado
Desarrollador Mobile,Fybeca,Ingeniería en Sistemas,Manabí,4 años,1887,2403,2025-10-06,Privado
Community Manager,Repsol Ecuador,Comunicación Social,Pichincha,2 años,864,957,2025-11-15,Privado
Diseñador Gráfico,Universidad San Francisco,Comunicación Social,Tungurahua,2 años,935,1057,2025-12-02,Privado
Auxiliar de Enfermería,Grupo Wright,Enfermería,Pichincha,2 años,793,918,2025-10-27,Privado
Contador,Hospital Metropolitano,Administración de Empresas,Pichincha,4 años,1433,1789,2025-11-16,Privado
Psicólogo Clínico,OCP Ecuador,Enfermería,Manabí,1 año,700,878,2025-09-23,Privado
Coordinador Administrativo,Ministerio de Salud,Administración de Empresas,Manabí,2 años,1057,1283,2025-11-17,Público
Coordinador de Publicidad,SRI,Comunicación Social,Guayas,2 años,822,1031,2025-10-18,Público
Analista de Marketing Digital,Unilever Andina,Comunicación Social,El Oro,2 años,884,1036,2025-10-01,Privado
Jefe de Recursos Humanos,Corporación Favorita,Contabilidad y Auditoría,Azuay,Sin experiencia,597,698,2025-11-02,Privado
Diseñador Gráfico,ARCA Continental,Comunicación Social,Pichincha,4 años,1301,1491,2025-12-03,Privado
Contador,OCP Ecuador,Contabilidad y Auditoría,Pichincha,4 años,1341,1540,2025-11-25,Privado
Analista Financiero,Banco Pichincha,Administración de Empresas,Azuay,2 años,1121,1258,2025-11-03,Privado
Ingeniero Civil,Hospital Metropolitano,Ingeniería Industrial,Guayas,3 años,1467,1675,2025-11-15,Privado
Ingeniero Ambiental,Industrias Ales,Ingeniería Eléctrica,Tungurahua,4 años,1840,2076,2025-12-05,Privado
Arquitecto de Software,Almacenes Juan Eljuri,Ingeniería en Sistemas,Pichincha,3 años,1597,1775,2025-10-02,Privado
Gerente de Marketing,Cervecería Nacional,Comunicación Social,Manabí,1 año,773,851,2025-10-26,Privado
Especialista en SEO,Nestlé Ecuador,Marketing,Pichincha,2 años,977,1247,2025-10-26,Privado
Ingeniero de Calidad,Grupo Wright,Ingeniería Civil,El Oro,2 años,1214,1411,2025-11-22,Privado
Ingeniero Mecánico,EP Petroecuador,Ingeniería Eléctrica,Guayas,2 años,1320,1572,2025-09-09,Privado
Administrador de Sistemas,Almacenes Juan Eljuri,Ingeniería en Sistemas,Azuay,3 años,1624,1914,2025-09-27,Privado
Desarrollador Mobile,Fybeca,Ingeniería en Sistemas,Azuay,4 años,1968,2257,2025-11-10,Privado
Community Manager,Claro Ecuador,Marketing,Manabí,4 años,1466,1851,2025-09-10,Privado
Ingeniero Ambiental,Ministerio de Educación,Ingeniería Eléctrica,Guayas,2 años,1278,1506,2025-09-24,Público
Tecnólogo Médico,Almacenes Juan Eljuri,Medicina,El Oro,Sin experiencia,1226,1501,2025-10-06,Privado
Fisioterapeuta,Corporación El Rosado,Enfermería,Manabí,5+ años,1531,1962,2025-10-19,Privado
Ingeniero de Proyectos,Consorcio Nobis,Ingeniería Industrial,Guayas,3 años,1442,1753,2025-12-03,Privado
Ingeniero Industrial,Produbanco,Ingeniería Civil,El Oro,Sin experiencia,916,1103,2025-09-24,Privado
Odontólogo/a,CNT,Enfermería,Azuay,4 años,1023,1234,2025-09-22,Público
Jefe de Recursos Humanos,Corporación El Rosado,Administración de Empresas,El Oro,4 años,1304,1517,2025-10-29,Privado
Psicólogo Clínico,ARCA Continental,Enfermería,El Oro,2 años,912,1166,2025-10-12,Privado
Auditor,Nestlé Ecuador,Administración de Empresas,Guayas,2 años,1011,1266,2025-11-24,Privado
Gerente de Marketing,Ministerio de Educación,Comunicación Social,Tungurahua,1 año,709,877,2025-10-22,Público
Auxiliar de Enfermería,Consorcio Nobis,Medicina,Tungurahua,Sin experiencia,1283,1531,2025-11-29,Privado
Contador,Repsol Ecuador,Contabilidad y Auditoría,Manabí,1 año,795,900,2025-10-05,Privado
Arquitecto de Software,Banco Pichincha,Ingeniería en Sistemas,Azuay,3 años,1831,2095,2025-12-01,Privado
